cat,subCat,img,name,price,ratingScore,ratingCount,pricePerAmount
materialy-budowlane,akcesoria-budowlane,https://images.obi.pl/product/PL/thumb/512913_1.jpg,Bayersystem Drabina wielofunkcyjna TG-DW 3 x 7 szczebli,398.00 zł,4.2,18,398.00 zł / szt.
"materialy-budowlane,akcesoria-budowlane,https://images.obi.pl/product/PL/thumb/307949_1.jpg,Skiva Taczka spawana 90L,""248,00 zł"",4.5,25,""248,00 zł / szt."""
"materialy-budowlane,akcesoria-budowlane,https://images.obi.pl/product/PL/thumb/472741_1.jpg,CMI Pianka montażowa wężykowa 750 ml,""17,99 zł"",4.3,10,""23,99 zł / l"""
"materialy-budowlane,akcesoria-budowlane,https://images.obi.pl/product/PL/thumb/512911_1.jpg,Bayersystem Drabina wielofunkcyjna TG-DW 3 x 9 szczebli,""598,00 zł"",4.6,14,""598,00 zł / szt."""
"materialy-budowlane,akcesoria-budowlane,https://images.obi.pl/product/PL/thumb/307950_1.jpg,Skiva Taczka Spawana skręcana,""299,00 zł"",4.1,8,""299,00 zł / szt."""
"materialy-budowlane,akcesoria-budowlane,https://images.obi.pl/product/PL/thumb/338529_1.jpg,""LUX Plandeka 120 g/m2 zielona, 4 m x 6 m"",""82,99 zł"",4.4,118,""82,99 zł / szt."""
"materialy-budowlane,akcesoria-budowlane,https://images.obi.pl/product/PL/thumb/605989_1.jpg,GruzBag Worek na gruz z usługą odbioru,""309,00 zł"",4.3,3,""309,00 zł / szt."""
"materialy-budowlane,akcesoria-budowlane,https://images.obi.pl/product/PL/thumb/136965_1.jpg,LUX Plandeka 80 g/m2 zielona 2 m x 3 m,""13,99 zł"",4.4,184,""13,99 zł / szt."""
"materialy-budowlane,akcesoria-budowlane,https://images.obi.pl/product/PL/thumb/158555_1.jpg,Soudal Pianka montażowa z aplikatorem Genius Gun 750 ml,""26,99 zł"",4.2,5,""35,99 zł / l"""

